course,file,path,type,bytes,updated,url
msbr70200,customers.csv,msbr70200/customers.csv,csv,408416,2026-09-02,https://raw.githubusercontent.com/FBDjnr/shared-course-files/main/msbr70200/customers.csv
msbr70200,example.csv,msbr70200/example.csv,csv,71,2026-09-02,https://raw.githubusercontent.com/FBDjnr/shared-course-files/main/msbr70200/example.csv
msbr70200,midterm_practice_orders.csv,msbr70200/midterm_practice_orders.csv,csv,9623,,https://raw.githubusercontent.com/FBDjnr/shared-course-files/main/msbr70200/midterm_practice_orders.csv
msbr70200,sales_salaries.csv,msbr70200/sales_salaries.csv,csv,1227,2026-09-07,https://raw.githubusercontent.com/FBDjnr/shared-course-files/main/msbr70200/sales_salaries.csv
msbr70201,syllabus data.csv,msbr70201/syllabus data.csv,csv,58,2026-09-02,https://raw.githubusercontent.com/FBDjnr/shared-course-files/main/msbr70201/syllabus%20data.csv
